country;SWI
Afghanistan;BB-
Albania;BBB-
Algeria;B+
Andorra;n.r.
Angola;B
Antigua and Barbuda;n.r.
Argentina;BB-
Armenia;BBB-
Australia;AA-
Austria;AA-
Azerbaijan;BBB+
Bahamas;BBB-
Bahrain;BB+
Bangladesh;BB+
Barbados;BB+
Belarus;A-
Belgium;A-
Belize;BB-
Benin;BBB-
Bhutan;BB+
Bolivia;BB+
Bosnia and Herzegovina;BBB-
Botswana;A-
Brazil;BB-
Brunei;AA-
Bulgaria;A+
Burkina Faso;BB
Burundi;B-
Cambodia;BB+
Cameroon;BB
Canada;A-
Cape Verde;BB
Central African Republic;B+
Chad;B
Chile;A+
People's Republic of China;BBB+
Ivory Coast;BBB-
Colombia;BBB-
Comoros;BB
Democratic Republic of the Congo;B+
Republic of the Congo;B-
Costa Rica;BBB-
Croatia;BBB+
Cuba;n.r.
Cyprus;BBB+
Czech Republic;AA
Denmark;AAA
Djibouti;BB
Dominica;BBB-
Dominican Republic;BBB-
Ecuador;BBB-
Egypt;BB-
El Salvador;BB
Equatorial Guinea;B+
Eritrea;CCC
Estonia;AAA
Eswatini;BB-
Ethiopia;BB-
Fiji;A-
Finland;AA-
France;BBB
Gabon;BB-
Gambia;B+
Georgia;A-
Germany;AA+
Ghana;BB+
Greece;B
Grenada;BB+
Guatemala;BBB
Guinea;BB-
Guinea-Bissau;B+
Guyana;BBB-
Haiti;CCC
Honduras;BB+
Hong Kong;AAA
Hungary;A-
Iceland;AA+
India;BB+
Indonesia;BBB+
Iran;BB-
Iraq;B+
Ireland;AAA
Israel;A+
Italy;BB
Jamaica;BB+
Japan;BB+
Jordan;BB
Kazakhstan;A
Kenya;BB
Kiribati;BBB
North Korea;n.r.
South Korea;AA-
Kosovo;BBB
Kuwait;A-
Kyrgyzstan;BB+
Laos;BB
Latvia;AA-
Lebanon;D
Lesotho;B+
Liberia;B
Libya;BB-
Liechtenstein;n.r.
Lithuania;AA-
Luxembourg;AAA
Macau;AAA
Madagascar;BB
Malawi;B
Malaysia;A+
Maldives;BB
Mali;BB-
Malta;AA
Marshall Islands;n.r.
Mauritania;B+
Mauritius;BBB+
Mexico;BBB
Federated States of Micronesia;BBB-
Moldova;BBB
Monaco;n.r.
Mongolia;BB
Montenegro;BB+
Morocco;BB+
Mozambique;B-
Myanmar;BB+
Namibia;BB
Nauru;n.r.
Nepal;BB+
Netherlands;AAA
New Zealand;AA+
Nicaragua;BB
Niger;BB-
Nigeria;B+
North Macedonia;BBB-
Norway;AAA
Oman;BBB+
Pakistan;B+
Palau;n.r.
Panama;BBB+
Papua New Guinea;BB+
Paraguay;BBB+
Peru;A-
Philippines;BBB
Poland;A+
Portugal;BBB
Qatar;AA-
Romania;A-
Russia;A-
Rwanda;BBB-
Saint Kitts and Nevis;n.r.
Saint Lucia;BBB-
Saint Vincent and the Grenadines;BB
Samoa;BBB
San Marino;A-
Sao Tome and Principe;BB
Saudi Arabia;A+
Senegal;BB
Serbia;BBB
Seychelles;BBB+
Sierra Leone;B-
Singapore;AA-
Slovakia;A
Slovenia;A+
Solomon Islands;BBB-
Somalia;CC
South Africa;BB-
South Sudan;C
Spain;BBB-
Sri Lanka;BB+
Sudan;D
Suriname;B-
Sweden;AAA
Switzerland;AAA
Syria;n.r.
Taiwan;AAA
Tajikistan;BB
Tanzania;BBB-
Thailand;A-
Timor-Leste;BB+
Togo;BB-
Tonga;A-
Trinidad and Tobago;BBB+
Tunisia;BB-
Turkey;BBB-
Turkmenistan;BBB-
Tuvalu;n.r.
Uganda;BB
Ukraine;BB+
United Arab Emirates;AA+
United Kingdom;A
United States;BBB
Uruguay;BBB+
Uzbekistan;BBB-
Vanuatu;BBB-
Holy See;n.r.
Venezuela;D
Vietnam;BBB+
Yemen;C
Zambia;CCC
Zimbabwe;BB
